Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
411.7,0.042,14.388,334.936,-0.27,336.614564102564,14.3934662004662,-0.153543123543134
411.8,0.041,14.372,359.576,-0.16,346.246165501166,14.3773356643357,-0.162307692307709
411.9,0.04,14.358,377.246,-0.14,358.734305361305,14.3610046620047,-0.152610722610742
412.0,0.04,14.349,358.582,-0.09,372.349734265734,14.3468135198135,-0.135979020978989
412.1,0.04,14.339,361.023,-0.1,378.828403263403,14.3338088578089,-0.12587412587412
412.2,0.067,14.317,387.242,-0.22,382.78086013986,14.3216386946387,-0.12551282051281
412.3,0.089,14.309,403.417,-0.08,385.579286713287,14.3087062937063,-0.134137529137542
412.4,0.085,14.298,396.524,-0.11,390.100571095571,14.2948111888112,-0.145745920745934
412.5,0.082,14.278,377.555,-0.2,397.768703962704,14.2795571095571,-0.154079254079207
412.6,0.078,14.263,398.977,-0.15,400.374293706294,14.2639953379953,-0.155186480186495
412.7,0.075,14.251,404.093,-0.12,400.604,14.2485198135198,-0.163426573426593
412.8,0.071,14.231,408.576,-0.2,403.182876456876,14.23131002331,-0.172354312354309
412.9,0.069,14.213,410.47,-0.18,408.240678321678,14.214048951049,-0.17255244755246
413.0,0.066,14.197,404.177,-0.16,412.25875990676,14.1967995337995,-0.173846153846129
413.1,0.064,14.18,413.769,-0.17,412.255993006993,14.1792797202797,-0.174440559440568
413.2,0.062,14.163,415.504,-0.17,411.345878787879,14.1619114219114,-0.16439393939395
413.3,0.06,14.145,412.284,-0.18,410.744864801865,14.1464009324009,-0.146421911421921
413.4,0.058,14.129,410.31,-0.16,413.961981351981,14.132627039627,-0.138624708624712
413.5,0.056,14.118,411.737,-0.11,415.636946386946,14.118675990676,-0.144090909090882
413.6,0.054,14.104,405.587,-0.14,412.876247086247,14.1038088578089,-0.150233100233112
413.7,0.053,14.094,418.271,-0.1,408.197808857809,14.0886293706294,-0.150967365967371
413.8,0.051,14.08,421.988,-0.14,403.178601398601,14.0736153846154,-0.143578088578104
413.9,0.049,14.055,390.813,-0.25,398.04982983683,14.0599137529138,-0.137296037296045
414.0,0.048,14.038,381.125,-0.17,391.039421911422,14.0461561771562,-0.137972027971984
414.1,0.05,14.03,381.467,-0.08,386.736552447552,14.0323193473193,-0.135384615384629
414.2,0.057,14.022,389.174,-0.08,386.715561771562,14.0190792540793,-0.131258741258743
414.3,0.058,14.014,391.489,-0.08,392.090713286713,14.0060675990676,-0.129801864801865
414.4,0.058,13.993,391.382,-0.21,401.682228438228,13.9931188811189,-0.136118881118888
414.5,0.055,13.976,416.265,-0.17,409.808400932401,13.9788438228438,-0.15167832167828
